MHP_RS00555.VFG043642_gb_WP_011205946_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
VFG045447 was removed because it failed filtering checks, so removing its metadata
VFG045449 was removed because it failed filtering checks, so removing its metadata
VFG045450 was removed because it failed filtering checks, so removing its metadata
VFG045451 was removed because it failed filtering checks, so removing its metadata
VFG045455 was removed because it failed filtering checks, so removing its metadata
VFG045456 was removed because it failed filtering checks, so removing its metadata
VFG045457 was removed because it failed filtering checks, so removing its metadata
VFG045458 was removed because it failed filtering checks, so removing its metadata
VFG045459 was removed because it failed filtering checks, so removing its metadata
VFG045460 was removed because it failed filtering checks, so removing its metadata
VFG046152 was removed because it failed filtering checks, so removing its metadata
VFG046169 was removed because it failed filtering checks, so removing its metadata
VFG046172 was removed because it failed filtering checks, so removing its metadata
VFG046191 was removed because it failed filtering checks, so removing its metadata
VFG049900 was removed because it failed filtering checks, so removing its metadata
VFG049904 was removed because it failed filtering checks, so removing its metadata
VFG049906 was removed because it failed filtering checks, so removing its metadata
VFG049912 was removed because it failed filtering checks, so removing its metadata
bmaC.VFG051131_gb_WP_006191504.1_.Brucella_suis_1330 was removed because it failed filtering checks, so removing its metadata
cesA.VFG050115_gb_WP_002081542_.Bacillus_cereus_AH187 was removed because it failed filtering checks, so removing its metadata
espT.VFG042219_gb_CAX32470_.Escherichia_coli_ONT_H__str._FV11678 was removed because it failed filtering checks, so removing its metadata
fhaB.VFG000001_gb_WP_010930610_.Bordetella_pertussis_Tohama_I was removed because it failed filtering checks, so removing its metadata
hmw1.VFG002035_gb_WP_010874803_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
hmw2.VFG002029_gb_WP_010874666_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
hmw3.VFG002034_gb_WP_010874808_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
invC_ilp.VFG013647_gb_WP_041175806_.Yersinia_pseudotuberculosis_IP_31758 was removed because it failed filtering checks, so removing its metadata
mhp107.VFG046118_gb_WP_011205945_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
mhp271.VFG043500_gb_WP_011206108_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
mhp385.VFG046119_gb_WP_011206220_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
orf6_p40_p90_mgpC_crmA.VFG002030_gb_WP_010874499_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
p102.VFG016466_gb_WP_011206019_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
p1_MgPa_gapA.VFG002033_gb_WP_010874498_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
p216.VFG016472_gb_WP_011206327_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
p30_p32.VFG002036_gb_WP_010874809_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
p65.VFG002031_gb_WP_010874665_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
p97.VFG016463_gb_WP_011206020_.Mycoplasma_hyopneumoniae_232 was removed because it failed filtering checks, so removing its metadata
pvdI.VFG016041_gb_NP_251092_.Pseudomonas_aeruginosa_PAO1 was removed because it failed filtering checks, so removing its metadata
pvdL.VFG016058_gb_NP_251114_.Pseudomonas_aeruginosa_PAO1 was removed because it failed filtering checks, so removing its metadata
rtxA.VFG000983_gb_WP_000517827_.Vibrio_cholerae_O1_biovar_El_Tor_str._N16961 was removed because it failed filtering checks, so removing its metadata
rtxA.VFG010851_gb_WP_011213234_.Legionella_pneumophila_str._Paris was removed because it failed filtering checks, so removing its metadata
rtxA.VFG038912_gb_WP_011705266_.Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966 was removed because it failed filtering checks, so removing its metadata
